Referencia,Descricao,Preco/Metro,DataInicio,DataFim,Observacoes,Unidade,MedidaBase,PrecoRS,PrecoBA,PrecoCE,PrecoMG,Peso,Custo/RS,Custo/BA/CE,nov./22,,PRAZO,60/90,-3,-3
MR140.021,(cad.tranç.48fu 3fios PET p/espula Lacoste M15097),,23/06/2025,,,PAR,100cm,"1,56",,,,,,,,,,,,
MR130.001,(cad.tranç.32f.fio PET cores Puma),,29/03/2022,,,PAR,100cm,"1,6",,,,,,,,,,,,
MR130.001,(desconto p/março 2024) (cad.tranç.32f.fio PET cores Puma),,06/03/2024,,(desconto p/março 2024),PAR,100cm,"1,36",,,,,,,,,,,,
MR130.002,(cad.tranç.32fu.fio PET 6mm M13119),,29/03/2022,,,PAR,100cm,"1,1",,"1,07",,,,,,,,,,
MR130.016,(cad.tranç.32fu.fio PET 6mm PUMA M18006),,01/07/2024,,,PAR,100cm,"1,33",,,,,,,,,,,,
MR110.001,(cad.tear PET tubular 6mm M10046),,28/06/2024,,,PAR,100cm,"1,21",,"1,18",,,,,,,,,,
MR110.017,(cad.tear 76fios PET 10mm cores M12154),,24/10/2024,,,PAR,100cm,"1,18",,"1,15",,,,,,,,,,
MR110.018,(Cad.tear PET tubular 8mm c/2almas ench. PUMA),,11/10/2023,,,PAR,100cm,"1,98",,"1,92",,,,,,,,,,
MR110.019,(Cad.tear PET tubular 8mm c/3almas ench. PUMA),,01/02/2024,,,PAR,100cm,"2,08",,"2,02",,,,,,,,,,
MR110.027,(cad.tear 64fios PET tub. 8mm c/2almas ench.pol.PUMA),,22/11/2024,,,PAR,100cm,"1,27",,,,,,,,,,,,
MR130.029,(cad.tranç.32fu.2fios PET p/espu. 6mm c/pont.retangular PUMA),,18/09/2025,,,PAR,100cm,"1,1",,,,,,,,,,,,
Fio poliéster 2x167/48,(conicalado em tubetes padrão) (linha galoneira),,06/07/2022,,(conicalado em tubetes padrão),KG,,"58,00",,,,,,,,,,,,
LINHA COSTURA GALONEIRA,(conicalado em tubetes padrão),,06/07/2022,,(conicalado em tubetes padrão),KG,,"58,00",,,,,,,,,,,,
Guiné,(fita),,01/09/2022,,,METRO,12mm,"1,04",,"1,01",,,,,,,,,,
MFGEL,(fita tear 132fios helanca cores Oakley),,06/12/2024,,,METRO,10mm,"1,1",,,,,,,,,,,,
MDP/2P,(fita tear fio POLIMP reforçado),,19/02/2021,,,METRO,15mm,"0,58",,"0,56",,,,,,,,,,
MFG,(fita tear pol.),,01/09/2022,,,METRO,12mm,"0,40",,"0,39",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,12mm,"0,46",,"0,45",,,,,,,,,,
MFG,(fita tear pol.),,01/09/2022,,,METRO,15mm,"0,50",,"0,49",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,15mm,"0,58",,"0,56",,,,,,,,,,
MFG,(fita tear pol.c/goma),,01/09/2022,,,METRO,25mm,"0,96",,"0,93",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,10mm,"0,55",,"0,53",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,12mm,"0,66",,"0,64",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,15mm,"0,82",,"0,80",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,16mm,"0,88",,"0,85",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,18mm,"0,99",,"0,96",,,,,,,,,,
MFP,(fita tear poliester),,11/02/2021,,,METRO,20mm,"1,10",,"1,07",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,6mm,"0,34",,"0,33",,,,,,,,,,
MFGP,(fita tear pol. c/goma,,25/01/2021,,,METRO,6mm,"0,41",,"0,40",,,,,,,,,,
MFGP,(fita pol.6mm ponteirado),,29/12/2020,,,PAR,100cm,,,"0,67",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,8mm,"0,43",,"0,42",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,10mm,"0,54",,"0,52",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,10mm,"0,68",,"0,66",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,12mm,"0,65",,"0,63",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,12mm,"0,82",,"0,80",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,14mm,"0,76",,"0,74",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,14mm,"0,95",,"0,92",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,15mm,"0,77",,"0,75",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,15mm,"1,02",,"0,99",,,,,,,,,,
MFGP,(fita tear pol.s/goma),,25/01/2021,,,METRO,18mm,"0,92",,"0,89",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,18mm,"1,22",,"1,18",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,20mm,"1,08",,"1,05",,,,,,,,,,
MFGP,(fita tear pol.c/goma),,25/01/2021,,,METRO,20mm,"1,36",,"1,32",,,,,,,,,,
MFGP,(fita tear pol. Normal),,25/01/2021,,,METRO,25mm,"1,35",,"1,31",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,28mm,"1,51",,"1,46",,,,,,,,,,
MFGP,(fita tear pol.),,25/01/2021,,,METRO,36mm,"1,94",,"1,88",,,,,,,,,,
M3118/2,(fita pol.tear trab.),,10/11/2021,,,METRO,15mm,"0,88",,"0,85",,,,,,,,,,
M3118/2,(fita pol.tear trab.),,10/11/2021,,,METRO,10mm,"0,60",,"0,58",,,,,,,,,,
M3118/2,(fita pol.tear trab.),,10/11/2021,,,METRO,8mm,"0,50",,"0,59",,,,,,,,,,
M3225,(fita tear pol.),,11/02/2021,,,METRO,15mm,,,"0,50",,,,,,,,,,
M3225,(fita tear pol.),,11/02/2021,,,METRO,20mm,,,"0,67",,,,,,,,,,
M4028,(fita tear pol.),,11/02/2021,,,METRO,8mm,,,"0,44",,,,,,,,,,
M4028,(fita tear pol.),,11/02/2021,,,METRO,10mm,,,"0,55",,,,,,,,,,
M4068T2,(fita pol. Cores duas tramas),,21/03/2022,,,METRO,15mm,"0,70",,"0,53",,,,,,,,,,
M4068,(fita pol.cores uma trama),,21/03/2022,,,METRO,15mm,"0,56",,,,,,,,,,,,
M4139,(fita tear fio Helanca cores S/Goma),,31/07/2024,,,METRO,8mm,"0,92",,,,,,,,,,,,
M4139,(fita tear fio Helanca cores S/Goma),,31/07/2024,,,METRO,15mm,"1,64",,,,,,,,,,,,
M4139,(fita tear fio Helanca cores C/Goma),,31/07/2024,,,METRO,8mm,"1,05",,,,,,,,,,,,
M4139,(fita helanca cores 120fios c/goma),,18/10/2023,,,METRO,15mm,"1,88",,,,,,,,,,,,
M4140,(fita pol.tear ),,11/02/2021,,,METRO,12mm,"0,67",,,,,,,,,,,,
M4140,(fita pol.tear c/refletivo 3mm),,11/02/2021,,,METRO,12mm,"2,18",,,,,,,,,,,,
M4140,(fita pol.tear c/refletivo 3mm),,11/02/2021,,,METRO,15mm,"0,84",,,,,,,,,,,,
M4140,(fita pol.tear c/refletivo 3mm),,11/02/2021,,,METRO,15mm,"2,25",,,,,,,,,,,,
M4140,( c/desconto para Mormaii e c/goma) (fita pol.tear c/refletivo 3mm),,18/11/2025,,( c/desconto para Mormaii e c/goma),METRO,15mm,"2,18",,,,,,,,,,,,
M4140,(fita pol.tear c/refletivo 15mm),,11/02/2021,,,METRO,15mm,"6,50",,,,,,,,,,,,
M4175,(fita tear pol.c/ 2 fios refletivo 1mm),,09/06/2021,,,METRO,12mm,"1,88",,,,,,,,,,,,
M17038,(fita tear fio poliamida liso tingida),,30/06/2021,,,METRO,12mm,"0,95",,,,,,,,,,,,
M31109,(fita tear pol.bicolor Skechers),,18/04/2024,,,METRO,12mm,"1,50",,"1,46",,,,,,,,,,
M31110,(fita tear pol.bicolor em V c/goma),,20/11/2023,,,METRO,12mm,"1,14",,"1,11",,,,,,,,,,
M31110,(fita tear pol.bicolor em V c/goma),,08/07/2024,,,METRO,15mm,"1,44",,"1,40",,,,,,,,,,
M31113,(fita tear 132fios pol. c/goma Lacoste),,16/06/2025,,,METRO,15mm,"1,12",,,,,,,,,,,,
M31116,(fita tear 60fios pol. Bicolor Ous),,16/12/2024,,,METRO,8mm,"0,48",,"0,47",,,,,,,,,,
M31127,(Fita tear 128fios pol.c/bordas 3mmbicolor OUS s/goma),,26/08/2024,,,METRO,20mm,"1,05",,"1,02",,,,,,,,,,
M31127,(fita tear 128fios pol.c/broda 3mm bicolocr OUS c/goma),,22/05/2025,,,METRO,20mm,"1,15",,,,,,,,,,,,
M32107,(fita pol.tear),,01/09/2022,,,METRO,6mm,"0,46",,"0,45",,,,,,,,,,
M32107,(fita pol.tear),,01/09/2022,,,METRO,8mm,"0,60",,"0,58",,,,,,,,,,
M32107,(fita pol.tear),,01/09/2022,,,METRO,10mm,"0,74",,"0,72",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,10mm,"0,93",,"0,90",,,,,,,,,,
M32107,(fita pol.tear s/goma),,01/09/2022,,,METRO,12mm,"0,88",,"0,85",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,12mm,"1,12",,"1,09",,,,,,,,,,
M32107,(fita pol.tear s/goma),,01/09/2022,,,METRO,14mm,"1,04",,"1,01",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,14mm,"1,29",,"1,25",,,,,,,,,,
M31107,(fita pol.tear s/goma),,01/09/2022,,,METRO,15mm,"1,11",,"1,08",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,15mm,"1,39",,"1,35",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,20mm,"1,82",,"1,77",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,22mm,"2,05",,"1,99",,,,,,,,,,
M32107,(fita pol.tear c/goma),,18/04/2024,,,METRO,25mm,"2,32",,"2,25",,,,,,,,,,
M32107,(fita pol.tear c/goma),,01/09/2022,,,METRO,30mm,"2,79",,"2,71",,,,,,,,,,
M32148,(fita pol.tear c/2 fio reflet. Nylon trama,,11/02/2021,,,METRO,16mm,"3,20",,,,,,,,,,,,
M32152,(fita tear 76fios pol. Sarjada N c/goma Calvin Klein),,13/06/2024,,,METRO,12mm,"0,62",,,,,,,,,,,,
M32152,(fita tear pol.c/refletivo 6mm aplicado),,19/04/2022,,,METRO,12mm,"3,18",,,,,,,,,,,,
M32152,(fita tear pol.c/refletivo 3mm aplicado),,19/04/2022,,,METRO,10mm,"2,25",,,,,,,,,,,,
M32158,(fita pol.tear c/2 fios reflet.2mm),,23/06/2021,,,METRO,16mm,"3,10",,,,,,,,,,,,
M32171,(fita pol.tear cores),,11/02/2021,,,METRO,20mm,"0,90",,"0,87",,,,,,,,,,
M32182,(fita pol.tear bicolor c/goma),,01/09/2022,,,METRO,15mm,"1,15",,"1,12",,,,,,,,,,
M32190,(fita pol.tear c/goma),,01/09/2022,,,METRO,10mm,"0,65",,"0,63",,,,,,,,,,
M32190,(fita pol. Tear cores c/goma,,01/09/2022,,,METRO,15mm,"0,98",,"0,95",,,,,,,,,,
M32190,(fita pol.tear c/goma),,01/09/2022,,,METRO,12mm,"0,78",,"0,76",,,,,,,,,,
M32190,(fita tear pol. S/goma),,01/09/2022,,,METRO,18mm,"1,06",,"1,03",,,,,,,,,,
M32199,(fita tear pol.c/lurex centro des.em V),,01/09/2022,,,METRO,12mm,"0,83",,"0,81",,,,,,,,,,
M32206,(fita tear pol. Cores 126 fios dupla face c/goma),,18/10/2023,,,METRO,15mm,"1,10",,"1,08",,,,,,,,,,
M32225,(fita tear pol.c/pesponto central c/goma),,17/05/2023,,,METRO,10mm,"0,57",,"0,55",,,,,,,,,,
M32237,(fita tear 136fios pol.meia fita cada cor Mormaii c/goma),,12/05/2025,,,METRO,20mm,"0,96",,,,,,,,,,,,
J31048,(fita pol.jacquard desenhad),,30/03/2022,,,METRO,12mm,"0,92",,,,,,,,,,,,
J31081,(fita pol.jacquard c/det.),,30/03/2022,,,METRO,15mm,"1,15",,,,,,,,,,,,
J31081,(fita pol.jacquard c/det.),,30/03/2022,,,METRO,20mm,"1,54",,,,,,,,,,,,
J31124,(fita tear jacard pol.calandrada),,18/07/2022,,,METRO,12mm,"1,38",,,,,,,,,,,,
J31149,(fita tear jacard pol. Bicolor ),,29/07/2024,,,METRO,16mm,"1,54",,,,,,,,,,,,
J31166,(fita tear 126fios pol.tricolor Skechers),,05/08/2024,,,METRO,12mm,"0,98",,,,,,,,,,,,
M32202,(fita tear pol.c/goma),,01/09/2022,,,METRO,20mm,"1,36",,"1,32",,,,,,,,,,
M41104,(fita tear polimp),,11/02/2021,,,METRO,15mm,"0,48",,"0,47",,,,,,,,,,
M41443,(fita tear pol. c/goma),,01/09/2022,,,METRO,15mm,"1,46",,"1,42",,,,,,,,,,
M41443,(fita tear pol.c/goma),,01/09/2022,,,METRO,18mm,"1,76",,"1,71",,,,,,,,,,
M41443,(fita tear pol.c/goma),,01/09/2022,,,METRO,30mm,"2,92",,"2,84",,,,,,,,,,
M41443,(fita tear pol. 280f),,11/02/2021,,,METRO,20mm,,,"1,43",,,,,,,,,,
M41443,(fita tear pol. 280f),,11/02/2021,,,METRO,27mm,,,"1,93",,,,,,,,,,
M41443,(fita tear pol. 280f),,11/02/2021,,,METRO,35mm,,,"2,50",,,,,,,,,,
M41446,(fita tear poliéster normal),,11/02/2021,,,METRO,15mm,,,"0,98",,,,,,,,,,
M41446,(fita pol c/goma),,11/02/2021,,,METRO,15mm,,,"1,27",,,,,,,,,,
M41464,(fita pol.dupla face ),,11/02/2021,,,METRO,15mm,,,"0,75",,,,,,,,,,
M41465,(fita vivo tear pol.cores),,01/09/2022,,,METRO,9mm,"0,55",,"0,53",,,,,,,,,,
M41466,(fita pol.bandeira Itália),,11/02/2021,,,METRO,20mm,,,"0,97",,,,,,,,,,
M41480,(fita pol.des.quadriculado),,11/02/2021,,,METRO,15mm,"0,62",,"0,60",,,,,,,,,,
M41505,(fita tear 174fios Polimp bicolor Skechers),,20/01/2025,,,METRO,15mm,"0,83",,,,,,,,,,,,
M41533,(fita tear 64fios pol.c/borda saliente c/goma Skechers),,29/08/2023,,,METRO,12mm,"0,88",,,,,,,,,,,,
M41535,(fita tear pol.c/refletivo 6mm MFGP),,27/03/2023,,,METRO,12mm,"2,52",,,,,,,,,,,,
M41543,(fita tear 132fios pol.calandrada Skechers),,02/07/2024,,,METRO,10mm,"0,68",,,,,,,,,,,,
M41543,(fita tear 132fios pol.calandrada Skechers),,02/07/2024,,,METRO,12mm,"0,78",,,,,,,,,,,,
M41543,(fita tear 132fios pol.calandrada Skechers),,02/07/2024,,,METRO,15mm,"0,94",,,,,,,,,,,,
M41559,(fita tear 68fios pol.+56fios brilh.c/fio auxiliar Skechers),,03/12/2025,,,METRO,15mm,"1,15",,,,,,,,,,,,
MR100.001,(fita tear FIO PET C/goma M32190),,30/07/2024,,,METRO,10mm,"0,70",,,,,,,,,,,,
MR100.001,(fita tear FIO PET C/goma M32190),,30/07/2024,,,METRO,12mm,"0,84",,,,,,,,,,,,
MR140.041,(fita tear 168 fios PET c/goma Puma),,24/06/2025,,,METRO,25mm,"1,32",,,,,,,,,,,,
MER,(elást.redondo tranç.),,12/04/2022,,,METRO,3mm,"0,78",,"0,76",,,,,,,,,,
MER,(elást.redondo tranç. Ponteirado ),,12/04/2022,,,PAR,14cm,"0,28",,,,,,,,,,,,
MEXP,(elást.export.tear c/12fios pol./4bor.28 cores),,04/04/2024,,,METRO,5mm,"0,58",,,,,,,,,,,,
MEXP,(elást.export.tear c/12fios pol./4bor.28 cores),,04/04/2024,,,METRO,6mm,"0,69",,,,,,,,,,,,
MTM,(elástico tear.pol.),,11/02/2021,,,METRO,5mm,"0,70",,"0,68",,,,,,,,,,
MTM,(elástico tear.pol.),,11/02/2021,,,METRO,6mm,"0,84",,"0,81",,,,,,,,,,
MTM,(elást.tear pol),,11/02/2021,,,METRO,10mm,"1,49",,"1,35",,,,,,,,,,
MTM,(elást.tear pol.normal),,04/04/2023,,,METRO,12mm,"1,80",,,,,,,,,,,,
MTM,(elást.tear pol.normal),,24/06/2024,,,METRO,15mm,"2,25",,,,,,,,,,,,
MTM,(elást.tear pol.normal),,11/02/2021,,,METRO,18mm,"2,43",,"2,35",,,,,,,,,,
MTM,(elást.tear pol.normal),,11/02/2021,,,METRO,20mm,"2,50",,"2,43",,,,,,,,,,
MTM,(elást.tear pol.c/goma),,11/02/2021,,,METRO,20mm,"3,25",,"3,15",,,,,,,,,,
MTM,(elast.tear pol.normal),,11/02/2021,,,METRO,25mm,"3,13",,"3,04",,,,,,,,,,
MTM,(elást.tear pol.c/goma),,11/02/2021,,,METRO,25mm,"4,07",,"3,95",,,,,,,,,,
MTM,(elást.tear pol. Normal),,11/02/2021,,,METRO,30mm,"3,75",,"3,64",,,,,,,,,,
MTM,(elást.tear pol. c/goma),,11/02/2021,,,METRO,30mm,"4,88",,"4,73",,,,,,,,,,
MTM,(elást.tear pol.c/goma),,11/02/2021,,,METRO,32mm,"5,20",,"5,04",,,,,,,,,,
MTM,(elást.tear pol. Normal),,11/02/2021,,,METRO,35mm,"4,38",,"4,25",,,,,,,,,,
MTM,(elást.tear pol.c/goma),,11/02/2021,,,METRO,35mm,"5,69",,"5,52",,,,,,,,,,
MTM,(elást.tear sublim. 2 lados borracha fina),,11/02/2021,,,METRO,35mm,"8,24",,,,,,,,,,,,
MTM,(elast.tear pol.c/goma),,11/02/2021,,,METRO,38mm,"6,17",,"5,98",,,,,,,,,,
MTM,(elást.tear pol. Normal),,11/02/2021,,,METRO,40mm,"5,00",,"4,85",,,,,,,,,,
MTM,(elást.tear pol.c/goma),,11/02/2021,,,METRO,40mm,"6,50",,"6,30",,,,,,,,,,
MTM,(elást. Tear pol.normal),,11/02/2021,,,METRO,50mm,"6,25",,,,,,,,,,,,
MTM,(elást.tear pol.normal),,11/02/2021,,,METRO,55mm,"6,90",,,,,,,,,,,,
MTM,(elásti.tear pol.normal),,11/02/2021,,,METRO,60mm,"7,52",,,,,,,,,,,,
MTM,(elástico tear pol.),,11/02/2021,,,METRO,65mm,"8,12",,,,,,,,,,,,
MTM,(elas.tear pol.c/goma,,11/02/2021,,,METRO,70mm,"10,50",,,,,,,,,,,,
MTM,(elástico ter pol. c/Goma,,11/02/2021,,,METRO,80mm,"12,00",,,,,,,,,,,,
MTM,(elas. Tear pol. S/GOMA),,11/02/2021,,,METRO,80mm,"10,00",,,,,,,,,,,,
MTM,(elást.tear pol.s/goma),,11/02/2021,,,METRO,100mm,"12,50",,,,,,,,,,,,
M2173,(Elást.fio elastano SR494 cores),,01/09/2022,,,METRO,15mm,"2,40",,,,,,,,,,,,
M21047,(fita elastano import.cores),,01/09/2022,,,METRO,15mm,"2,00",,,,,,,,,,,,
M21101,(elást.tear borr.revestida),,01/09/2022,,,METRO,6mm,"0,94",,,,,,,,,,,,
M21101,(elást.tear borr.revestida),,01/09/2022,,,METRO,8mm,"1,25",,,,,,,,,,,,
M21111,(elást.tear c/goma),,11/02/2021,,,METRO,35mm,,,"6,36",,,,,,,,,,
M21111,(elást.tear c/goma),,11/02/2021,,,METRO,27mm,,,"4,90",,,,,,,,,,
M21111,(elást.tear pol. Sem goma),,11/02/2021,,,METRO,35mm,,,"4,90",,,,,,,,,,
M21119,(elást.tear pol. MTM calandrado),,01/09/2022,,,METRO,20mm,"2,68",,,,,,,,,,,,
M21119,(elást.tear pol. MTM calandrado),,01/09/2022,,,METRO,25mm,"3,35",,,,,,,,,,,,
M21119,(elást.tear pol. MTM calandrado),,01/09/2022,,,METRO,30mm,"4,02",,,,,,,,,,,,
M21119,(elást.tear pol. MTM calandrado),,01/09/2022,,,METRO,35mm,"4,69",,,,,,,,,,,,
M21119,(elást.tear pol. MTM calandrado),,01/09/2022,,,METRO,40mm,"5,36",,,,,,,,,,,,
M21145,(elast.sarjado tipo MEER),,01/09/2022,,,METRO,9mm,"1,02",,"0,99",,,,,,,,,,
M34003,(elást.tranç.17 fusos impar poliéster 5mm),,09/10/2023,,,METRO,5mm,"1,26",,,,,,,,,,,,
MR160.003,(elast.tear 32fios PET 12 bor.revestida),,18/04/2024,,,METRO,8mm,"1,74",,,,,,,,,,,,
M10148,(cad.tear 92fios Polimp meadas cores Asics tipo AL),,11/06/2026,,,PAR,100cm,"1,08",,,,,,,,,,,,
M21052 8MM,Cadarço tear 162 fios helanca 6.0 cores tubular largura 8mm Ous,0,21/06/2026 21:00:00,,,pares,100,"1,85","1,79","1,79",0,0,,,,,,,,
MR130.030 6MM,Cadarço trançadeira 32 fusos PET p/ espula largura 6mm cores Puma,0,21/06/2026 21:00:00,,,pares,100,"1,24","1,20","1,20",0,0,,,,,,,,